bucket,bucket_start,bucket_end,picked_frame,var_of_laplacian
0,0,15,14,679.924
1,15,29,17,696.466
2,29,44,29,582.545
3,44,59,58,276.977
4,59,73,65,400.394
5,73,88,76,431.226
6,88,103,93,431.718
7,103,117,115,388.534
8,117,132,130,353.113
9,132,147,132,341.065
10,147,161,154,269.391
11,161,176,161,243.918
12,176,191,190,96.320
13,191,205,203,104.730
14,205,220,210,181.364
15,220,235,234,68.561
16,235,249,246,163.514
17,249,264,263,111.100
18,264,279,278,212.887
19,279,293,287,336.849
20,293,308,304,289.122
21,308,323,312,280.734
22,323,337,336,327.598
23,337,352,344,417.647
24,352,367,355,557.215
25,367,381,380,285.890
26,381,396,385,364.861
27,396,411,397,217.120
28,411,425,411,181.675
29,425,440,438,231.841
30,440,455,441,234.992
31,455,469,455,149.457
32,469,484,483,234.097
33,484,499,485,312.676
34,499,513,512,199.517
35,513,528,523,208.461
36,528,543,541,328.018
37,543,557,543,323.823
38,557,572,567,286.048
39,572,586,579,300.444
40,586,601,586,209.091
41,601,616,613,288.325
42,616,630,627,277.920
43,630,645,644,317.184
44,645,660,646,330.258
45,660,674,669,137.647
46,674,689,681,101.250
47,689,704,691,56.992
48,704,718,717,52.146
49,718,733,729,99.049
50,733,748,733,100.639
51,748,762,760,155.503
52,762,777,774,272.880
53,777,792,790,154.464
54,792,806,792,110.132
55,806,821,818,173.979
56,821,836,824,182.312
57,836,850,836,103.311
58,850,865,864,81.315
59,865,880,879,133.605
60,880,894,885,176.864
61,894,909,908,231.090
62,909,924,915,268.828
63,924,938,926,194.376
64,938,953,951,187.156
65,953,968,960,202.370
66,968,982,968,119.570
67,982,997,982,85.480
68,997,1012,1008,99.782
69,1012,1026,1014,89.579
70,1026,1041,1029,424.709
71,1041,1056,1055,111.427
72,1056,1070,1069,125.628
73,1070,1085,1074,161.240
74,1085,1100,1097,91.861
75,1100,1114,1104,151.022
76,1114,1129,1118,139.451
77,1129,1144,1143,37.802
78,1144,1158,1146,68.326
79,1158,1173,1172,154.702
80,1173,1188,1182,291.711
81,1188,1202,1195,266.508
82,1202,1217,1202,130.871
83,1217,1232,1228,363.629
84,1232,1246,1233,322.282
85,1246,1261,1259,135.614
86,1261,1276,1261,81.362
87,1276,1290,1287,90.629
88,1290,1305,1304,100.254
89,1305,1320,1315,189.622
90,1320,1334,1333,145.751
91,1334,1349,1338,184.377
92,1349,1364,1359,188.584
93,1364,1378,1364,125.983
94,1378,1393,1391,87.355
95,1393,1408,1400,149.291
96,1408,1422,1421,62.710
97,1422,1437,1436,69.079
98,1437,1452,1449,204.881
99,1452,1466,1465,173.992
100,1466,1481,1474,281.164
101,1481,1496,1488,154.198
102,1496,1510,1505,202.936
103,1510,1525,1515,223.190
104,1525,1540,1526,186.416
105,1540,1554,1540,30.648
106,1554,1569,1556,21.066
107,1569,1584,1583,26.272
108,1584,1598,1587,61.068
109,1598,1613,1601,15.516
110,1613,1628,1625,119.437
111,1628,1642,1630,129.345
112,1642,1657,1644,101.325
113,1657,1672,1657,105.568
114,1672,1686,1685,53.484
115,1686,1701,1686,61.712
116,1701,1716,1711,168.742
117,1716,1730,1725,131.040
118,1730,1745,1735,110.189
119,1745,1760,1759,134.295
120,1760,1774,1773,272.195
121,1774,1789,1774,234.243
122,1789,1803,1796,199.183
123,1803,1818,1811,78.115
124,1818,1833,1828,214.146
125,1833,1847,1833,142.351
126,1847,1862,1859,102.136
127,1862,1877,1867,157.341
128,1877,1891,1877,110.173
129,1891,1906,1905,521.430
130,1906,1921,1920,929.647
131,1921,1935,1922,942.948
132,1935,1950,1935,757.533
133,1950,1965,1959,603.831
134,1965,1979,1965,410.696
135,1979,1994,1980,212.923
136,1994,2009,2007,187.610
137,2009,2023,2012,206.462
138,2023,2038,2034,177.834
139,2038,2053,2052,134.991
140,2053,2067,2058,298.045
141,2067,2082,2079,826.300
142,2082,2097,2082,696.417
143,2097,2111,2101,567.597
144,2111,2126,2122,152.083
145,2126,2141,2134,193.925
146,2141,2155,2152,590.621
147,2155,2170,2159,532.696
148,2170,2185,2177,1283.235
149,2185,2199,2194,1132.528
150,2199,2214,2213,1282.304
151,2214,2229,2214,1371.424
152,2229,2243,2237,1238.904
153,2243,2258,2257,263.013
154,2258,2273,2272,766.301
155,2273,2287,2286,684.488
156,2287,2302,2298,808.105
157,2302,2317,2303,693.268
158,2317,2331,2328,551.218
159,2331,2346,2336,570.782
160,2346,2361,2351,649.766
161,2361,2375,2367,384.383
162,2375,2390,2389,276.282
163,2390,2405,2404,297.719
164,2405,2419,2418,435.774
165,2419,2434,2432,542.277
166,2434,2449,2435,539.260
167,2449,2463,2449,386.534
168,2463,2478,2464,214.125
169,2478,2493,2491,397.811
170,2493,2507,2493,514.085
171,2507,2522,2508,253.401
172,2522,2537,2531,153.518
173,2537,2551,2546,274.699
174,2551,2566,2565,556.903
175,2566,2581,2579,846.771
176,2581,2595,2591,900.865
177,2595,2610,2609,927.165
178,2610,2625,2612,905.906
179,2625,2639,2626,744.342
180,2639,2654,2639,696.716
181,2654,2669,2654,514.568
182,2669,2683,2681,610.220
183,2683,2698,2697,840.729
184,2698,2713,2711,1302.891
185,2713,2727,2714,1357.865
186,2727,2742,2741,1097.007
187,2742,2757,2746,1281.751
188,2757,2771,2758,963.519
189,2771,2786,2779,1021.009
190,2786,2801,2792,845.070
191,2801,2815,2801,584.873
192,2815,2830,2828,759.428
193,2830,2845,2833,766.746
194,2845,2859,2858,1073.753
195,2859,2874,2860,1244.471
196,2874,2889,2874,972.745
197,2889,2903,2889,713.600
198,2903,2918,2903,550.249
199,2918,2932,2929,450.354
200,2932,2947,2945,492.605
201,2947,2962,2955,481.616
202,2962,2976,2971,420.870
203,2976,2991,2990,990.384
204,2991,3006,2994,1000.053
205,3006,3020,3015,165.093
206,3020,3035,3030,576.957
207,3035,3050,3037,597.048
208,3050,3064,3055,540.023
209,3064,3079,3069,570.956
210,3079,3094,3083,685.820
211,3094,3108,3107,331.997
212,3108,3123,3108,341.362
213,3123,3138,3137,381.234
214,3138,3152,3138,408.040
215,3152,3167,3166,889.795
216,3167,3182,3175,929.387
217,3182,3196,3187,954.326
218,3196,3211,3204,498.778
219,3211,3226,3213,617.656
220,3226,3240,3226,435.664
221,3240,3255,3253,248.946
222,3255,3270,3267,286.592
223,3270,3284,3283,317.512
224,3284,3299,3297,547.617
225,3299,3314,3313,582.062
226,3314,3328,3327,606.284
227,3328,3343,3332,645.817
228,3343,3358,3357,675.232
229,3358,3372,3361,699.824
230,3372,3387,3386,707.401
231,3387,3402,3389,718.659
232,3402,3416,3404,490.783
233,3416,3431,3420,533.274
234,3431,3446,3440,303.893
235,3446,3460,3459,264.770
236,3460,3475,3467,349.023
237,3475,3490,3478,275.766
238,3490,3504,3490,193.862
239,3504,3519,3514,89.412
240,3519,3534,3533,68.920
241,3534,3548,3544,113.001
242,3548,3563,3556,136.225
243,3563,3578,3563,165.047
244,3578,3592,3591,334.748
245,3592,3607,3600,380.203
246,3607,3622,3621,474.635
247,3622,3636,3622,461.659
248,3636,3651,3636,363.770
249,3651,3666,3665,260.108
250,3666,3680,3675,1037.141
251,3680,3695,3680,1178.666
252,3695,3710,3709,1166.507
253,3710,3724,3722,1446.311
