bucket,bucket_start,bucket_end,picked_frame,var_of_laplacian
0,0,10,9,628.647
1,10,20,17,696.466
2,20,29,20,656.994
3,29,39,29,582.545
4,39,49,43,231.284
5,49,59,58,276.977
6,59,68,65,400.394
7,68,78,76,431.226
8,78,88,80,386.863
9,88,98,93,431.718
10,98,108,98,397.343
11,108,117,115,388.534
12,117,127,123,330.951
13,127,137,130,353.113
14,137,147,138,246.805
15,147,156,154,269.391
16,156,166,158,266.479
17,166,176,168,213.725
18,176,186,184,71.380
19,186,196,191,101.395
20,196,205,203,104.730
21,205,215,210,181.364
22,215,225,218,134.048
23,225,235,234,68.561
24,235,244,243,93.006
25,244,254,246,163.514
26,254,264,263,111.100
27,264,274,265,101.485
28,274,283,281,260.870
29,283,293,287,336.849
30,293,303,299,205.124
31,303,313,304,289.122
32,313,323,313,257.497
33,323,332,329,280.858
34,332,342,341,377.574
35,342,352,344,417.647
36,352,362,355,557.215
37,362,371,362,312.764
38,371,381,380,285.890
39,381,391,385,364.861
40,391,401,392,258.754
41,401,411,401,185.914
42,411,420,411,181.675
43,420,430,428,194.765
44,430,440,438,231.841
45,440,450,441,234.992
46,450,459,450,189.029
47,459,469,466,123.544
48,469,479,476,191.405
49,479,489,485,312.676
50,489,499,497,138.521
51,499,508,507,155.764
52,508,518,512,199.517
53,518,528,523,208.461
54,528,538,537,233.443
55,538,547,541,328.018
56,547,557,556,240.035
57,557,567,566,279.001
58,567,577,567,286.048
59,577,586,579,300.444
60,586,596,586,209.091
61,596,606,604,174.888
62,606,616,613,288.325
63,616,626,624,253.700
64,626,635,627,277.920
65,635,645,644,317.184
66,645,655,646,330.258
67,655,665,656,254.215
68,665,674,669,137.647
69,674,684,681,101.250
70,684,694,691,56.992
71,694,704,702,50.367
72,704,714,704,49.309
73,714,723,718,55.093
74,723,733,729,99.049
75,733,743,733,100.639
76,743,753,752,110.961
77,753,762,760,155.503
78,762,772,771,210.800
79,772,782,774,272.880
80,782,792,790,154.464
81,792,802,792,110.132
82,802,811,809,130.251
83,811,821,818,173.979
84,821,831,824,182.312
85,831,841,831,141.078
86,841,850,841,75.387
87,850,860,859,49.984
88,860,870,869,102.059
89,870,880,879,133.605
90,880,890,885,176.864
91,890,899,894,150.568
92,899,909,908,231.090
93,909,919,915,268.828
94,919,929,923,204.373
95,929,938,931,164.333
96,938,948,946,146.090
97,948,958,955,190.489
98,958,968,960,202.370
99,968,978,968,119.570
100,978,987,982,85.480
101,987,997,987,74.015
102,997,1007,1006,62.215
103,1007,1017,1008,99.782
104,1017,1026,1018,88.362
105,1026,1036,1029,424.709
106,1036,1046,1045,84.283
107,1046,1056,1055,111.427
108,1056,1065,1059,119.945
109,1065,1075,1074,161.240
110,1075,1085,1076,148.792
111,1085,1095,1088,89.754
112,1095,1105,1104,151.022
113,1105,1114,1105,146.800
114,1114,1124,1118,139.451
115,1124,1134,1124,58.086
116,1134,1144,1143,37.802
117,1144,1153,1146,68.326
118,1153,1163,1162,74.254
119,1163,1173,1172,154.702
120,1173,1183,1182,291.711
121,1183,1193,1183,280.403
122,1193,1202,1195,266.508
123,1202,1212,1202,130.871
124,1212,1222,1221,193.562
125,1222,1232,1228,363.629
126,1232,1241,1233,322.282
127,1241,1251,1242,126.126
128,1251,1261,1259,135.614
129,1261,1271,1261,81.362
130,1271,1281,1278,84.115
131,1281,1290,1287,90.629
132,1290,1300,1298,63.656
133,1300,1310,1307,148.998
134,1310,1320,1315,189.622
135,1320,1329,1324,135.118
136,1329,1339,1338,184.377
137,1339,1349,1340,180.159
138,1349,1359,1358,188.204
139,1359,1368,1359,188.584
140,1368,1378,1368,73.164
141,1378,1388,1385,70.365
142,1388,1398,1391,87.355
143,1398,1408,1400,149.291
144,1408,1417,1416,32.534
145,1417,1427,1421,62.710
146,1427,1437,1436,69.079
147,1437,1447,1446,141.439
148,1447,1456,1449,204.881
149,1456,1466,1465,173.992
150,1466,1476,1474,281.164
151,1476,1486,1476,242.675
152,1486,1496,1488,154.198
153,1496,1505,1502,200.581
154,1505,1515,1512,210.431
155,1515,1525,1515,223.190
156,1525,1535,1526,186.416
157,1535,1544,1535,73.875
158,1544,1554,1548,27.191
159,1554,1564,1556,21.066
160,1564,1574,1572,21.327
161,1574,1584,1583,26.272
162,1584,1593,1587,61.068
163,1593,1603,1601,15.516
164,1603,1613,1612,14.436
165,1613,1623,1622,74.735
166,1623,1632,1630,129.345
167,1632,1642,1638,90.709
168,1642,1652,1644,101.325
169,1652,1662,1657,105.568
170,1662,1672,1664,62.471
171,1672,1681,1680,41.521
172,1681,1691,1686,61.712
173,1691,1701,1700,53.873
174,1701,1711,1709,79.912
175,1711,1720,1711,168.742
176,1720,1730,1725,131.040
177,1730,1740,1735,110.189
178,1740,1750,1745,86.051
179,1750,1760,1759,134.295
180,1760,1769,1768,182.019
181,1769,1779,1773,272.195
182,1779,1789,1788,143.018
183,1789,1799,1796,199.183
184,1799,1808,1799,191.009
185,1808,1818,1811,78.115
186,1818,1828,1826,209.181
187,1828,1838,1828,214.146
188,1838,1847,1838,87.702
189,1847,1857,1856,81.653
190,1857,1867,1865,147.153
191,1867,1877,1867,157.341
192,1877,1887,1877,110.173
193,1887,1896,1895,103.124
194,1896,1906,1905,521.430
195,1906,1916,1909,629.389
196,1916,1926,1922,942.948
197,1926,1935,1933,752.261
198,1935,1945,1935,757.533
199,1945,1955,1946,410.463
200,1955,1965,1959,603.831
201,1965,1975,1965,410.696
202,1975,1984,1977,230.320
203,1984,1994,1984,166.535
204,1994,2004,1998,166.057
205,2004,2014,2012,206.462
206,2014,2023,2014,187.430
207,2023,2033,2031,125.096
208,2033,2043,2034,177.834
209,2043,2053,2052,134.991
210,2053,2063,2058,298.045
211,2063,2072,2071,311.822
212,2072,2082,2079,826.300
213,2082,2092,2082,696.417
214,2092,2102,2101,567.597
215,2102,2111,2102,481.279
216,2111,2121,2111,117.418
217,2121,2131,2128,175.875
218,2131,2141,2134,193.925
219,2141,2150,2149,357.414
220,2150,2160,2152,590.621
221,2160,2170,2167,524.669
222,2170,2180,2177,1283.235
223,2180,2190,2180,1220.381
224,2190,2199,2194,1132.528
225,2199,2209,2205,1032.514
226,2209,2219,2214,1371.424
227,2219,2229,2220,868.884
228,2229,2238,2237,1238.904
229,2238,2248,2239,1237.145
230,2248,2258,2257,263.013
231,2258,2268,2263,426.878
232,2268,2278,2272,766.301
233,2278,2287,2286,684.488
234,2287,2297,2295,792.783
235,2297,2307,2298,808.105
236,2307,2317,2308,544.719
237,2317,2326,2325,502.081
238,2326,2336,2335,553.968
239,2336,2346,2336,570.782
240,2346,2356,2351,649.766
241,2356,2366,2358,437.545
242,2366,2375,2367,384.383
243,2375,2385,2375,261.633
244,2385,2395,2393,296.679
245,2395,2405,2404,297.719
246,2405,2414,2411,389.665
247,2414,2424,2423,475.081
248,2424,2434,2432,542.277
249,2434,2444,2435,539.260
250,2444,2454,2444,430.838
251,2454,2463,2454,320.355
252,2463,2473,2464,214.125
253,2473,2483,2482,214.540
254,2483,2493,2491,397.811
255,2493,2502,2493,514.085
256,2502,2512,2503,295.643
257,2512,2522,2512,246.166
258,2522,2532,2531,153.518
259,2532,2542,2538,154.043
260,2542,2551,2546,274.699
261,2551,2561,2560,442.277
262,2561,2571,2570,646.759
263,2571,2581,2579,846.771
264,2581,2590,2588,875.787
265,2590,2600,2591,900.865
266,2600,2610,2609,927.165
267,2610,2620,2612,905.906
268,2620,2629,2622,761.309
269,2629,2639,2633,721.651
270,2639,2649,2639,696.716
271,2649,2659,2650,574.314
272,2659,2669,2659,496.335
273,2669,2678,2677,569.694
274,2678,2688,2687,666.490
275,2688,2698,2697,840.729
276,2698,2708,2707,1283.028
277,2708,2717,2714,1357.865
278,2717,2727,2717,1258.073
279,2727,2737,2733,961.161
280,2737,2747,2746,1281.751
281,2747,2757,2749,1225.585
282,2757,2766,2758,963.519
283,2766,2776,2773,970.673
284,2776,2786,2779,1021.009
285,2786,2796,2792,845.070
286,2796,2805,2796,828.914
287,2805,2815,2805,481.236
288,2815,2825,2824,633.515
289,2825,2835,2833,766.746
290,2835,2845,2835,733.921
291,2845,2854,2852,708.014
292,2854,2864,2860,1244.471
293,2864,2874,2867,1223.000
294,2874,2884,2874,972.745
295,2884,2893,2884,842.038
296,2893,2903,2897,698.226
297,2903,2913,2903,550.249
298,2913,2923,2921,426.722
299,2923,2932,2929,450.354
300,2932,2942,2941,473.419
301,2942,2952,2945,492.605
302,2952,2962,2955,481.616
303,2962,2972,2971,420.870
304,2972,2981,2972,363.887
305,2981,2991,2990,990.384
306,2991,3001,2994,1000.053
307,3001,3011,3001,191.221
308,3011,3020,3015,165.093
309,3020,3030,3029,522.653
310,3030,3040,3037,597.048
311,3040,3050,3041,589.487
312,3050,3060,3055,540.023
