frame_index,var_of_laplacian
0,251.268
1,233.017
2,282.753
3,355.777
4,392.340
5,437.669
6,608.207
7,596.558
8,590.421
9,628.647
10,625.944
11,650.715
12,644.832
13,653.777
14,679.924
15,685.375
16,682.171
17,696.466
18,687.123
19,656.896
20,656.994
21,645.903
22,656.540
23,640.257
24,623.725
25,617.170
26,616.874
27,571.158
28,623.351
29,582.545
30,553.351
31,513.410
32,517.444
33,476.113
34,273.054
35,303.781
36,239.239
37,249.285
38,269.459
39,163.768
40,199.963
41,160.484
42,148.606
43,231.284
44,178.975
45,190.412
46,177.590
47,194.511
48,207.442
49,200.973
50,221.952
51,198.049
52,229.660
53,227.528
54,218.088
55,211.121
56,228.059
57,178.294
58,276.977
59,256.268
60,259.498
61,200.681
62,243.340
63,374.208
64,374.066
65,400.394
66,330.625
67,231.203
68,386.154
69,251.622
70,287.660
71,282.625
72,321.745
73,370.366
74,225.388
75,281.168
76,431.226
77,376.113
78,331.142
79,319.102
80,386.863
81,213.111
82,191.482
83,255.471
84,180.151
85,171.582
86,344.015
87,291.477
88,244.286
89,313.943
90,325.199
91,388.454
92,398.501
93,431.718
94,424.596
95,399.059
96,375.808
97,350.473
98,397.343
99,358.648
100,383.220
101,344.802
102,251.016
103,245.503
104,272.409
105,243.412
106,266.658
107,298.619
108,307.911
109,352.927
110,346.931
111,351.282
112,382.632
113,313.880
114,318.409
115,388.534
116,340.565
117,324.997
118,304.460
119,283.394
120,263.648
121,233.680
122,160.925
123,330.951
124,231.753
125,208.697
126,294.243
127,283.775
128,330.970
129,343.829
130,353.113
131,341.023
132,341.065
133,305.824
134,254.000
135,287.287
136,278.467
137,212.492
138,246.805
139,246.291
140,244.895
141,207.424
142,177.621
143,214.655
144,219.800
145,209.502
146,188.582
147,208.460
148,198.788
149,216.929
150,220.179
151,233.431
152,229.205
153,217.556
154,269.391
155,255.136
156,197.158
157,196.397
158,266.479
159,249.230
160,252.204
161,243.918
162,206.826
163,207.208
164,185.715
165,182.097
166,202.458
167,203.828
168,213.725
169,191.562
170,195.274
171,133.919
172,129.946
173,125.457
174,60.513
175,64.663
176,42.370
177,39.329
178,36.147
179,37.884
180,39.901
181,37.793
182,37.687
183,36.839
184,71.380
185,55.800
186,55.708
187,59.807
188,79.024
189,92.189
190,96.320
191,101.395
192,88.702
193,78.011
194,37.112
195,36.408
196,54.968
197,43.886
198,43.737
199,38.016
200,45.968
201,52.550
202,103.018
203,104.730
204,37.326
205,146.300
206,54.461
207,79.810
208,109.008
209,150.132
210,181.364
211,169.584
212,117.089
213,99.503
214,152.744
215,65.877
216,92.995
217,118.740
218,134.048
219,123.490
220,28.758
221,32.325
222,58.526
223,67.500
224,40.351
225,33.191
226,39.956
227,32.039
228,30.736
229,30.438
230,32.192
231,46.834
232,52.896
233,53.773
234,68.561
235,65.040
236,58.654
237,90.494
238,53.686
239,40.290
240,74.088
241,40.028
242,31.649
243,93.006
244,47.812
245,63.921
246,163.514
247,77.807
248,157.168
249,74.270
250,95.689
251,85.574
252,101.720
253,99.625
254,76.210
255,73.036
256,65.356
257,42.013
258,38.542
259,61.221
260,71.782
261,88.221
262,103.064
263,111.100
264,92.602
265,101.485
266,64.157
267,52.011
268,56.595
269,51.788
270,69.486
271,74.241
272,100.797
273,73.587
274,74.221
275,77.424
276,95.332
277,108.822
278,212.887
279,227.437
280,251.160
281,260.870
282,248.885
283,261.771
284,105.606
285,238.633
286,300.017
287,336.849
288,150.696
289,136.847
290,176.821
291,178.391
292,148.824
293,159.954
294,64.556
295,130.382
296,164.640
297,133.089
298,181.136
299,205.124
300,119.798
301,197.904
302,182.182
303,269.292
304,289.122
305,266.365
306,231.680
307,253.742
308,256.085
309,179.248
310,249.403
311,270.034
312,280.734
313,257.497
314,255.529
315,248.785
316,242.717
317,169.103
318,213.260
319,110.432
320,162.230
321,155.319
322,137.719
323,140.556
324,159.208
325,160.645
326,185.432
327,211.538
328,250.853
329,280.858
330,252.344
331,174.173
332,175.179
333,240.008
334,259.851
335,300.922
336,327.598
337,301.702
338,307.315
339,311.129
340,341.172
341,377.574
342,371.590
343,399.196
344,417.647
345,342.257
346,321.748
347,332.834
348,316.298
349,312.351
350,359.449
351,374.540
352,440.746
353,468.074
354,530.600
355,557.215
356,313.058
357,314.713
358,338.566
359,311.117
360,323.850
361,327.503
362,312.764
363,276.370
364,204.110
365,106.449
366,98.309
367,114.523
368,177.644
369,173.652
370,165.906
371,165.155
372,170.563
373,166.862
374,147.728
375,182.916
376,159.177
377,223.278
378,230.584
379,257.131
380,285.890
381,293.308
382,303.564
383,240.477
384,259.347
385,364.861
386,317.616
387,277.394
388,306.789
389,322.067
390,209.268
391,190.775
392,258.754
393,206.403
394,218.043
395,221.826
396,188.115
397,217.120
398,211.653
399,204.190
400,177.671
401,185.914
402,176.634
403,164.542
404,171.524
405,158.299
406,150.755
407,144.581
408,144.598
409,168.817
410,181.466
411,181.675
412,140.903
413,134.977
414,122.391
415,105.276
416,122.833
417,124.333
418,126.127
419,137.226
420,136.561
421,137.397
422,146.030
423,147.054
424,161.719
425,185.078
426,190.094
427,177.398
428,194.765
429,171.341
430,160.933
431,134.711
432,161.980
433,173.569
434,186.306
435,191.022
436,198.540
437,205.045
438,231.841
439,221.426
440,215.175
441,234.992
442,211.219
443,213.312
444,217.402
445,184.411
446,161.411
447,136.301
448,116.554
449,176.149
450,189.029
451,132.822
452,146.192
453,147.736
454,147.286
455,149.457
456,111.942
457,108.147
458,99.298
459,93.323
460,93.376
461,95.336
462,96.038
463,114.120
464,116.335
465,97.519
466,123.544
467,112.495
468,114.389
469,121.618
470,122.840
471,130.871
472,128.772
473,98.978
474,117.024
475,145.851
476,191.405
477,152.363
478,130.779
479,104.222
480,149.451
481,223.095
482,214.443
483,234.097
484,278.822
485,312.676
486,270.645
487,234.169
488,197.154
489,79.727
490,76.539
491,72.881
492,59.751
493,80.535
494,96.441
495,110.454
496,133.592
497,138.521
498,110.020
499,97.198
500,103.618
501,107.160
502,133.361
503,112.254
504,135.543
505,97.562
506,87.978
507,155.764
508,195.940
509,115.666
510,101.856
511,120.889
512,199.517
513,120.219
514,139.895
515,148.266
516,136.058
517,160.314
518,182.228
519,173.533
520,186.192
521,178.786
522,192.832
523,208.461
524,175.713
525,165.147
526,149.362
527,67.326
528,67.817
529,67.032
530,65.722
531,61.455
532,65.712
533,71.248
534,78.778
535,121.543
536,178.784
537,233.443
538,274.999
539,323.874
540,319.022
541,328.018
542,313.831
543,323.823
544,285.781
545,278.249
546,162.367
547,184.093
548,188.409
549,199.502
550,216.142
551,216.157
552,227.814
553,212.158
554,216.277
555,224.362
556,240.035
557,234.135
558,249.260
559,265.815
560,251.255
561,247.211
562,267.912
563,270.332
564,268.988
565,273.690
566,279.001
567,286.048
568,261.281
569,244.043
570,258.803
571,254.590
572,261.419
573,269.993
574,269.491
575,268.124
576,281.064
577,273.613
578,278.413
579,300.444
580,290.005
581,252.189
582,279.167
583,234.043
584,228.146
585,237.639
586,209.091
587,202.556
588,197.651
589,172.781
590,173.652
591,172.106
592,154.993
593,143.654
594,173.470
595,141.253
596,139.576
597,158.720
598,143.200
599,146.242
600,153.795
601,166.445
602,149.897
603,166.578
604,174.888
605,174.811
606,180.585
607,192.767
608,203.242
609,218.301
610,220.592
611,217.701
612,246.873
613,288.325
614,151.251
615,187.514
616,252.763
617,177.540
618,128.104
619,218.736
620,204.638
621,237.749
622,201.197
623,230.908
624,253.700
625,246.156
626,265.821
627,277.920
628,217.123
629,269.316
630,247.205
631,116.423
632,203.004
633,210.640
634,147.164
635,82.818
636,171.206
637,143.306
638,232.649
639,269.994
640,277.153
641,281.601
642,283.219
643,293.765
644,317.184
645,320.428
646,330.258
647,326.159
648,223.847
649,235.680
650,244.095
651,235.871
652,223.093
653,239.187
654,243.386
655,247.013
656,254.215
657,217.315
658,161.198
659,120.160
660,44.186
661,44.610
662,66.020
663,57.727
664,48.847
665,70.435
666,79.360
667,87.353
668,107.849
669,137.647
670,118.612
671,95.607
672,84.116
673,78.277
674,86.985
675,81.429
676,56.137
677,37.767
678,65.435
679,52.992
680,81.399
681,101.250
682,59.534
683,39.621
684,36.956
685,30.513
686,32.149
687,34.365
688,40.395
689,51.694
690,55.329
691,56.992
692,53.490
693,50.918
694,36.862
695,32.096
696,34.451
697,39.013
698,44.618
699,39.745
700,44.917
701,48.032
702,50.367
703,47.729
704,49.309
705,47.021
706,47.676
707,36.146
708,32.767
709,31.608
710,34.538
711,33.912
712,37.016
713,39.006
714,41.964
715,43.589
716,46.995
717,52.146
718,55.093
719,52.505
720,51.037
721,52.639
722,55.000
723,57.938
724,58.596
725,61.414
726,72.260
727,78.786
728,90.186
729,99.049
730,61.190
731,86.402
732,87.947
733,100.639
734,54.755
735,62.767
736,66.722
737,71.237
738,79.064
739,77.495
740,67.720
741,74.703
742,79.027
743,76.922
744,78.965
745,89.333
746,92.918
747,94.335
748,88.516
749,89.628
750,91.711
751,98.958
752,110.961
753,85.746
754,114.011
755,63.684
756,64.223
757,81.567
758,121.059
759,148.137
760,155.503
761,142.181
762,146.320
763,127.957
764,114.110
765,109.959
766,94.618
767,81.686
768,117.748
769,178.136
770,179.045
771,210.800
772,246.326
773,257.230
774,272.880
775,250.838
776,63.295
777,69.449
778,134.820
779,87.045
780,61.358
781,65.072
782,45.288
783,59.228
784,31.969
785,42.918
786,88.775
787,116.074
788,131.503
789,141.667
790,154.464
791,147.613
792,110.132
793,52.996
794,52.196
795,40.910
796,29.745
797,31.040
798,33.733
799,40.709
800,38.872
801,45.889
802,59.278
803,55.640
804,72.302
805,83.907
806,102.378
807,62.481
808,118.311
809,130.251
810,126.271
811,90.144
812,119.032
813,164.165
814,171.340
815,171.075
816,171.780
817,173.259
818,173.979
819,172.042
820,169.030
821,173.478
822,174.017
823,181.771
824,182.312
825,177.146
826,175.943
827,165.024
828,163.308
829,155.248
830,145.097
831,141.078
832,134.713
833,109.047
834,106.229
835,107.157
836,103.311
837,95.082
838,82.964
839,77.928
840,77.271
841,75.387
842,75.336
843,67.659
844,64.228
845,39.824
846,32.926
847,33.403
848,33.202
849,23.989
850,23.495
851,25.427
852,33.135
853,43.471
854,47.770
855,46.767
856,48.653
857,43.874
858,47.481
859,49.984
860,52.438
861,56.269
862,63.054
863,76.308
864,81.315
865,89.964
866,92.857
867,97.786
868,100.619
869,102.059
870,118.765
871,116.891
872,67.223
873,89.792
874,87.653
875,87.042
876,107.211
877,117.527
878,125.734
879,133.605
880,124.800
881,108.144
882,159.858
883,167.524
884,176.088
885,176.864
886,158.817
887,155.001
888,130.112
889,121.148
890,111.446
891,101.031
892,73.789
893,88.879
894,150.568
895,104.704
896,142.390
897,48.748
898,56.636
899,119.832
900,163.955
901,98.820
902,146.644
903,161.129
904,188.355
905,190.363
906,175.801
907,220.233
908,231.090
909,235.623
910,251.006
911,252.139
912,253.285
913,259.422
914,264.264
915,268.828
916,265.881
917,239.108
918,149.854
919,151.084
920,139.216
921,150.873
922,188.016
923,204.373
924,182.168
925,186.524
926,194.376
927,182.714
928,158.646
929,150.062
930,121.712
931,164.333
932,156.272
933,159.504
934,161.678
935,159.665
936,140.132
937,124.676
938,114.036
939,108.754
940,114.406
941,116.500
942,104.329
943,113.595
944,90.652
945,131.015
946,146.090
947,142.780
948,137.143
949,147.973
950,177.614
951,187.156
952,152.122
953,171.915
954,187.206
955,190.489
956,190.434
957,164.817
958,172.802
959,177.439
960,202.370
961,193.165
962,183.626
963,189.788
964,170.250
965,152.375
966,149.784
967,123.851
968,119.570
969,106.677
970,91.300
971,81.106
972,82.230
973,81.565
974,70.454
975,71.907
976,72.215
977,70.586
978,74.596
979,68.379
980,71.654
981,79.893
982,85.480
983,82.812
984,77.096
985,76.943
986,75.640
987,74.015
988,66.027
989,61.696
990,57.900
991,57.202
992,61.701
993,70.842
994,70.279
995,40.235
996,68.198
997,56.524
998,46.012
999,58.985
1000,59.289
1001,34.617
1002,60.149
1003,46.822
1004,49.137
1005,50.750
1006,62.215
1007,70.334
1008,99.782
1009,73.456
1010,65.405
1011,67.988
1012,86.400
1013,80.036
1014,89.579
1015,88.470
1016,78.452
1017,85.502
1018,88.362
1019,60.710
1020,61.056
1021,51.347
1022,69.300
1023,77.152
1024,77.562
1025,81.386
1026,135.144
1027,220.853
1028,358.145
1029,424.709
1030,280.556
1031,224.875
1032,153.430
1033,37.462
1034,47.702
1035,54.853
1036,33.187
1037,45.567
1038,36.657
1039,39.567
1040,40.301
1041,40.122
1042,45.180
1043,61.609
1044,73.917
1045,84.283
1046,92.680
1047,82.940
1048,53.074
1049,48.374
1050,79.595
1051,92.460
1052,87.227
1053,99.622
1054,110.475
1055,111.427
1056,112.929
1057,115.338
1058,111.906
1059,119.945
1060,116.204
1061,115.342
1062,117.802
1063,112.001
1064,115.350
1065,116.876
1066,118.483
1067,121.239
1068,124.634
1069,125.628
1070,140.162
1071,149.067
1072,126.908
1073,144.811
1074,161.240
1075,144.996
1076,148.792
1077,145.469
1078,134.189
1079,111.530
1080,107.261
1081,109.301
1082,103.047
1083,103.502
1084,95.471
1085,88.248
1086,88.904
1087,84.390
1088,89.754
1089,83.682
1090,75.318
1091,78.564
1092,72.528
1093,72.202
1094,77.645
1095,76.593
1096,73.351
1097,91.861
1098,86.561
1099,90.312
1100,115.365
1101,129.124
1102,138.894
1103,142.080
1104,151.022
1105,146.800
1106,125.745
1107,129.364
1108,137.733
1109,125.934
1110,119.866
1111,120.759
1112,122.485
1113,122.342
1114,129.657
1115,132.320
1116,134.391
1117,132.590
1118,139.451
1119,110.945
1120,103.831
1121,85.590
1122,69.359
1123,67.855
1124,58.086
1125,56.802
1126,42.223
1127,30.078
1128,30.104
1129,28.980
1130,28.097
1131,25.416
1132,23.027
1133,24.332
1134,23.470
1135,28.296
1136,29.370
1137,29.778
1138,27.938
1139,28.358
1140,30.817
1141,28.372
1142,31.938
1143,37.802
1144,42.573
1145,40.810
1146,68.326
1147,65.417
1148,61.402
1149,58.767
1150,38.525
1151,47.749
1152,26.765
1153,33.257
1154,54.065
1155,55.790
1156,52.710
1157,56.882
1158,63.771
1159,71.279
1160,66.182
1161,70.387
1162,74.254
1163,77.069
1164,75.396
1165,84.840
1166,93.775
1167,74.708
1168,84.062
1169,83.381
1170,72.496
1171,85.081
1172,154.702
1173,111.717
1174,140.154
1175,147.239
1176,173.608
1177,167.847
1178,221.174
1179,238.803
1180,275.091
1181,280.401
1182,291.711
1183,280.403
1184,253.047
1185,219.697
1186,220.016
1187,202.265
1188,202.303
1189,218.451
1190,219.100
1191,228.080
1192,241.958
1193,232.643
1194,253.432
1195,266.508
1196,264.500
1197,235.985
1198,233.569
1199,221.846
1200,190.664
1201,99.303
1202,130.871
1203,114.310
1204,56.607
1205,53.298
1206,60.608
1207,63.473
1208,60.260
1209,84.740
1210,126.327
1211,98.860
1212,68.218
1213,81.280
1214,61.530
1215,60.871
1216,58.994
1217,70.204
1218,81.061
1219,96.653
1220,123.206
1221,193.562
1222,221.207
1223,257.130
1224,293.014
1225,310.088
1226,342.589
1227,360.355
1228,363.629
1229,358.178
1230,338.590
1231,322.318
1232,240.255
1233,322.282
1234,303.424
1235,282.771
1236,270.831
1237,239.417
1238,203.175
1239,166.810
1240,109.742
1241,110.504
1242,126.126
1243,109.197
1244,99.233
1245,100.385
1246,95.874
1247,92.364
1248,92.634
1249,83.979
1250,81.178
1251,82.196
1252,76.396
1253,74.756
1254,79.311
1255,78.644
1256,80.866
1257,102.379
1258,128.664
1259,135.614
1260,132.125
1261,81.362
1262,66.509
1263,66.322
1264,68.914
1265,67.875
1266,80.911
1267,68.301
1268,43.208
1269,44.294
1270,46.064
1271,55.214
1272,52.920
1273,57.070
1274,63.824
1275,71.255
1276,75.382
1277,82.874
1278,84.115
1279,66.887
1280,63.664
1281,68.793
1282,74.380
1283,83.536
1284,76.518
